food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,Match_source,SBERT_score,SBERT_match_name,NOVA_step4,NOVA_final
poached egg,Poached egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",,,1,1.0,egg poached,TF-IDF,,,,1
roast potatoes,Roast potatoes,Roast potatoes,,,,0.6444168484173971,,SBERT,0.77336663,potato roast in lard,3,3
red grapes,Red grapes,Fresh fruit,,,,0.5426504058108859,,SBERT,0.74471176,grape nuts,4,4
orange squash no added sugar diluted,"Orange squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
orange squash / juice with added sugar diluted,"Orange squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
muffin not chocolate eg blueberry,"Muffin, not chocolate (e.g. blueberry)","Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.5941261969581412,,SBERT,0.83887947,muffin chocolate,2,2
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
corn on the cob sweetcorn,Corn on the cob (sweetcorn),"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7666864682692057,,SBERT,0.68754506,sweetcorn immature cob canned drained,3,3
spicy/sweet chilli chicken wrap,Spicy/sweet chilli chicken wrap,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.45001361611292534,,SBERT,0.6810544,chilli sauce,4,4
apple juice,Apple juice,Fruit juices e.g. fresh orange juice,,,1,1.0000000000000002,apple juice,TF-IDF,,,,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
apple juice,Apple juice,Fruit juices e.g. fresh orange juice,,,1,1.0000000000000002,apple juice,TF-IDF,,,,1
orange squash no added sugar diluted,"Orange squash, no added sugar, diluted",Cordials & squashes: reduced sugar or low calorie squashes,4.0,sweetened drink,,,,Keyword,,,,4.0
gravy made from granules reduced salt,"Gravy made from granules, reduced salt",Gravy,,,,0.8481761099247693,,SBERT,0.92998385,reduced salt gravy granules not made up,4,4
baked beans,Baked beans,Baked beans,,,4,0.8649534966068606,beans baked canned,TF-IDF,,,,4
peas cooked from frozen,"Peas, cooked from frozen","Peas: frozen, fresh, canned, dried & split",,,,0.8022830293305168,,SBERT,0.90830344,peas frozen boiled,3,3
mashed potato with butter,"Mashed potato, with butter",Other potatoes,3.0,boiled or mashed,,,,Keyword,,,,3.0
scrambled egg,Scrambled egg,"Eggs: whole egg, white, yolk, dried, boiled, fried, scrambled, omelette, poached",,,,0.8341078004865639,,SBERT,0.86782545,scrambled egg sandwich,1,1
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6947469702111506,,SBERT,0.78620106,carrots raw,1,1
lightest spreadable butter eg lurpak sainsbury’s buttersoft light,"Lightest spreadable butter (e.g. Lurpak, Sainsbury’s Buttersoft Light)",Butter: includes half fat butter and other animal fats (e.g. lard),,,,0.6667459115823386,,SBERT,0.7998924,light spreadable butter 55 60 fat,4,4
yorkshire pudding shopbought eg aunt bessie,"Yorkshire pudding, shop-bought (e.g. Aunt Bessie)","Cereal based savouries: dumplings, yorkshire puddings",,,,0.5689105998843418,,SBERT,0.6091622,yorkshire pudding made with skimmed milk,3,3
toast white bread,"Toast, white bread",White bread/rolls,,,,0.6543627705315798,,SBERT,0.9340069,bread white toasted,4,4
pork sausage grilled,"Pork sausage, grilled",Sausages,,,4,0.8507751416605542,pork sausage smoked grilled,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,,,0.6297247075896294,,SBERT,0.8615175,brown bread toasted,4,4
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,,,0.7985538892406345,,SBERT,0.7873174,potato crisps high oleic sunflower oil eg walkers,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
chicken korma curry,"Chicken korma, curry",Chicken/Turkey dishes,,,,0.7474914147140134,,SBERT,0.8445317,chicken curry,1,1
toast 50:50 bread eg kingsmill,"Toast, 50:50 bread (e.g. Kingsmill)",Brown and wholemeal bread/rolls,,,,0.5744940751220311,,SBERT,0.65439796,bread sandwich wholemeal thins kingsmill,4,4
tea black with spices masala chai/ chai/ pal tea/ halu tea/ pala tea/ chae/cha,"Tea, black with spices (Masala chai/ chai/ Pal tea/ Halu tea/ Pala tea/ Chae/Cha)",Tea (excluding added sugar),,,,0.5543312047267419,,SBERT,0.63360703,tea chamomile,1,1
chapati white,"Chapati, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.8434398073340543,,SBERT,0.78145134,flour chapati white,3,3
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,SBERT,0.6937287,baby pure fruit juice rtd,4,4
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
chicken burger in a bun with lettuce and mayo,"Chicken burger, in a bun, with lettuce and mayo",Burgers and kebabs,,,,0.7470491676242822,,SBERT,0.8426798,chicken burger bun lettuce and mayo take away,4,4
chocolate sponge cake with no filling,Chocolate sponge cake with no filling,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.7754852665303048,,SBERT,0.8224654,sponge cake with fat no filling no icing purchased,4,4
chips french fries/fine cut fried from frozen,"Chips, french fries/fine cut, fried (from frozen)",Fried chips,,,,0.666691611678,,SBERT,0.8263848,white potato french fries from frozen deep fried,4,4
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,,,0.6507572659192971,,SBERT,0.8862506,childrens chewable vitamins a c d e,NC,NC
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,SBERT,0.6937287,baby pure fruit juice rtd,4,4
whole milk boiled,"Whole milk, boiled","Whole milks: includes longlife whole, dried whole & any soya or goats milk",3.0,boiled or mashed,,,,Keyword,,,,3.0
hot chocolate made with milk,"Hot chocolate, made with milk","Other hot drinks water and milk based e.g. hot chocolate, ovaltine",,,,0.754815783420408,,SBERT,0.8958309,hot chocolate made with semi skimmed milk,4,4
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,,,0.6507572659192971,,SBERT,0.8862506,childrens chewable vitamins a c d e,NC,NC
banana bread/cake,Banana bread/cake,"Sweet breads: malt bread, currant bread",,,,0.7106886367723106,,SBERT,0.8193085,banana cake homemade,3,3
bread sticks eg grissini,Bread sticks (e.g. Grissini),"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,,4,1.0,bread sticks eg grissini,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
beef lasagne,Beef lasagne,Meat based pasta dishes,,,,0.7723710676968908,,SBERT,0.86984706,lasagne beef ready meal,4,4
cheese and tomato pizza eg margherita,Cheese and tomato pizza (e.g. Margherita),Pizza,,,,0.5127958927311378,,SBERT,0.6921035,pizza with cheese and extra vegetables regular crust,1,1
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
tea black with spices masala chai/ chai/ pal tea/ halu tea/ pala tea/ chae/cha,"Tea, black with spices (Masala chai/ chai/ Pal tea/ Halu tea/ Pala tea/ Chae/Cha)",Tea (excluding added sugar),,,,0.5543312047267419,,SBERT,0.63360703,tea chamomile,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
coated chicken breast fillet fried,"Coated chicken breast fillet, fried",Chicken/Turkey in breadcrumbs,,,,0.658971575176976,,SBERT,0.8163047,chicken breast fried no coating skin eaten,2,2
whole milk boiled,"Whole milk, boiled","Whole milks: includes longlife whole, dried whole & any soya or goats milk",3.0,boiled or mashed,,,,Keyword,,,,3.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
tomato ketchup reduced salt and sugar,"Tomato ketchup, reduced salt and sugar",Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
tangerines / mandarins / clementines/ satsumas,Tangerines / mandarins / clementines/ satsumas,Fresh fruit,,,1,0.9052316041909536,tangerines mandarins clementines flesh only,TF-IDF,,,,1
banana bread/cake,Banana bread/cake,"Sweet breads: malt bread, currant bread",,,,0.7106886367723106,,SBERT,0.8193085,banana cake homemade,3,3
mixed meat/seafood paella,Mixed meat/seafood paella,"Fish dishes: curry, seafood pasta, fish pie",,,,0.7842601961813823,,SBERT,0.87824804,paella with seafood,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
brioche roll with chocolate chips,Brioche roll with chocolate chips,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.7011430112538258,,SBERT,0.8761865,chocolate chip brioche rolls purchased,4,4
tea black with spices masala chai/ chai/ pal tea/ halu tea/ pala tea/ chae/cha,"Tea, black with spices (Masala chai/ chai/ Pal tea/ Halu tea/ Pala tea/ Chae/Cha)",Tea (excluding added sugar),,,,0.5543312047267419,,SBERT,0.63360703,tea chamomile,1,1
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,TF-IDF,,,,4
chapati white,"Chapati, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.8434398073340543,,SBERT,0.78145134,flour chapati white,3,3
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,,,0.7985538892406345,,SBERT,0.7873174,potato crisps high oleic sunflower oil eg walkers,4,4
ribena juice drink ready to drink,"Ribena juice drink, ready to drink",Other cordials and squashes: excluding low calorie & reduced sugar,,,,0.6408520823020148,,SBERT,0.7773767,ribena juice drink rtd orange,4,4
toast wholemeal brown bread,"Toast, wholemeal (brown) bread",Brown and wholemeal bread/rolls,,,,0.6297247075896294,,SBERT,0.8615175,brown bread toasted,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,,,0.6507572659192971,,SBERT,0.8862506,childrens chewable vitamins a c d e,NC,NC
chicken korma curry,"Chicken korma, curry",Chicken/Turkey dishes,,,,0.7474914147140134,,SBERT,0.8445317,chicken curry,1,1
whole milk boiled,"Whole milk, boiled","Whole milks: includes longlife whole, dried whole & any soya or goats milk",3.0,boiled or mashed,,,,Keyword,,,,3.0
tomato fresh,"Tomato, fresh","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5922885782104951,,SBERT,0.748809,tomatoes from fresh stewed,1,1
whole milk boiled,"Whole milk, boiled","Whole milks: includes longlife whole, dried whole & any soya or goats milk",3.0,boiled or mashed,,,,Keyword,,,,3.0
roast/grilled chicken leg skin eaten,Roast/grilled chicken leg  (skin eaten),Chicken/Turkey dishes,,,,0.5750641808354038,,SBERT,0.84192115,chicken thigh roasted broiled or baked skin eaten,2,2
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,,,0.6507572659192971,,SBERT,0.8862506,childrens chewable vitamins a c d e,NC,NC
butter popcorn,Butter popcorn,"Non-potato snacks e.g. pretzels, tortilla crisps",,,,0.6777822325446274,,SBERT,0.85587484,popcorn popped in oil buttered,4,4
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,,,0.7985538892406345,,SBERT,0.7873174,potato crisps high oleic sunflower oil eg walkers,4,4
paratha white,"Paratha, white","Other breads with >8g/100g fat: naan, chapatis (made with fat), fried papadums, croissants, fried bread",,,,0.7744457751253802,,SBERT,0.60895336,paratha with butter white flour,4,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
hot chocolate made with milk,"Hot chocolate, made with milk","Other hot drinks water and milk based e.g. hot chocolate, ovaltine",,,,0.754815783420408,,SBERT,0.8958309,hot chocolate made with semi skimmed milk,4,4
olives,Olives,Fresh fruit,,,3,0.8847627569379497,olives green,TF-IDF,,,,3
tea black with spices masala chai/ chai/ pal tea/ halu tea/ pala tea/ chae/cha,"Tea, black with spices (Masala chai/ chai/ Pal tea/ Halu tea/ Pala tea/ Chae/Cha)",Tea (excluding added sugar),,,,0.5543312047267419,,SBERT,0.63360703,tea chamomile,1,1
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
mozzarella cheese,Mozzarella cheese,"Other cheese: edam, cheddar",,,3,1.0,cheese mozzarella,TF-IDF,,,,3
spaghetti bolognese home made pasta and sauce,"Spaghetti bolognese, home made (pasta and sauce)",Meat based pasta dishes,3.0,homemade item,,,,Keyword,,,,3.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
potato shapes eg alphabites smilies fried,"Potato shapes (e.g. Alphabites, Smilies), fried","Potato products e.g. wedges, waffles, croquettes",,,,0.39303957835727465,,SBERT,0.6326771,white potato skins with adhering flesh fried,1,1
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,SBERT,0.8401057,cucumber raw,1,1
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
cheesy mash,Cheesy mash,Other potatoes,,,,0.4723332479392135,,SBERT,0.51512283,corn chex,4,4
corn on the cob sweetcorn,Corn on the cob (sweetcorn),"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7666864682692057,,SBERT,0.68754506,sweetcorn immature cob canned drained,3,3
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,TF-IDF,,,,1
processed cheese slices eg individually wrapped for melting on burgers,Processed cheese slices (e.g. individually wrapped for melting on burgers),Processed cheese,,,,0.44682547183238763,,SBERT,0.75919294,cheese processed slices or blocks,4,4
chicken tikka grilled,"Chicken tikka, grilled",Chicken/Turkey dishes,,,,0.6374879342487727,,SBERT,0.71936643,chicken tikka grilled no bones includes takeaway,3,3
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,SBERT,0.6937287,baby pure fruit juice rtd,4,4
fruit shoot,Fruit shoot,"Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,,,0.6457437867547431,,SBERT,0.69314903,fruit juice drink,4,4
cheese strings/strips eg dairylea,Cheese strings/strips (e.g. Dairylea),Processed cheese,,,,0.5512407643622018,,SBERT,0.6750411,dairylea strip cheese fortified with calcium,4,4
baked potato / jacket potato skin eaten,"Baked potato / jacket potato, skin eaten",Jacket potatoes: baked in skins,,,,0.6004145822829121,,SBERT,0.8112763,potatoes old baked flesh skin,1,1
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed,,,,Keyword,,,,3.0
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
porridge sachet syrup/fruit flavour made up with milk eg oat so simple apple and blueberry,"Porridge sachet, syrup/fruit flavour, made up with milk (e.g. Oat So Simple apple and blueberry)","Other breakfast cereals: muesli, bran flakes",4.0,instant/flavoured,,,,Keyword,,,,4.0
fruit yoghurt,Fruit yoghurt,Whole milk yoghurt/fromage frais,,,,0.6080627731313163,,SBERT,0.85128963,yogurts yoghurts fruit with added cream,4,4
fruit squash / juice with added sugar diluted,"Fruit squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
chocolate hoops cereal,Chocolate hoops cereal,"Sugar coated breakfast cereals: sugar puffs, frosties",,,,0.6635111523924302,,SBERT,0.7616351,milk chocolate candy with cereal,4,4
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
chicken burger in a bun with lettuce and mayo,"Chicken burger, in a bun, with lettuce and mayo",Burgers and kebabs,,,,0.7470491676242822,,SBERT,0.8426798,chicken burger bun lettuce and mayo take away,4,4
pasta with a cheesebased sauce,Pasta with a cheese-based sauce,Non meat based pasta dishes,,,1,0.850488959747106,pasta with meat sauce,TF-IDF,,,,1
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
bbq sauce,BBQ sauce,"Other sauces e.g. vinegar, salad cream, tartare sauce, cook-in-canned sauce",,,,0.48302852585520173,,SBERT,0.93261087,barbecue sauce,4,4
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
bacon smoked fried including fat,"Bacon, smoked, fried (including fat)",Bacon and ham,,,,0.629457732721969,,SBERT,0.848579,rashers bacon smoked fried lean and fat,4,4
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
wholemeal cracker eg farmhouse cracker,Wholemeal cracker (e.g. Farmhouse cracker),"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",4.0,snack item,,,,Keyword,,,,4.0
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
potato waffles grilled/baked,"Potato waffles, grilled/baked","Potato products e.g. wedges, waffles, croquettes",,,,0.717958558738431,,SBERT,0.82647645,potato waffles fritters hash browns alphabites grill or bake,4,4
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
white rice eg longgrain including easycook,"White rice, e.g. long-grain (including easy-cook)",Rice,,,,0.6331687447643033,,SBERT,0.7122927,brown easycook italian american rice raw,3,3
chicken goujon/nugget/dipper in breadcrumb or batter,"Chicken goujon/nugget/dipper, in breadcrumb or batter",Chicken/Turkey in breadcrumbs,,,,0.6773678732045874,,SBERT,0.6078827,quorn in breadcrumbs inc nuggets dippers goujons burgers,4,4
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,SBERT,0.8465773,apples eating raw flesh skin only,4,4
spinach and potato curry eg saag aloo,Spinach and potato curry (e.g. saag aloo),Non meat and potato dishes,,,,0.5687518204957982,,SBERT,0.7907448,curry spinach,3,3
whole milk boiled,"Whole milk, boiled","Whole milks: includes longlife whole, dried whole & any soya or goats milk",3.0,boiled or mashed,,,,Keyword,,,,3.0
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
babybel cheese,Babybel cheese,Processed cheese,,,,0.7486184738736029,,SBERT,0.6989383,bread cheese,4,4
fruit squash / juice with added sugar diluted,"Fruit squash / juice, with ADDED SUGAR, diluted",Other cordials and squashes: excluding low calorie & reduced sugar,4.0,sweetened drink,,,,Keyword,,,,4.0
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
weetabix chocolate,"Weetabix, chocolate","Other breakfast cereals: muesli, bran flakes",4.0,snack item,,,,Keyword,,,,4.0
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,SBERT,0.6937287,baby pure fruit juice rtd,4,4
plain pancakes / crepes,Plain pancakes / crepes,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.7271275002652043,,SBERT,0.82524455,pancakes plain,4,4
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
jam/conserve berries eg strawberry,"Jam/conserve, berries (e.g. strawberry)","Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",1.0,raw,,,,Keyword,,,,1.0
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy,,,,Keyword,,,,1.0
fish fingers fried,"Fish fingers, fried","Fish in crumbs: fishcakes, fishfingers",,,,0.784599456627336,,SBERT,0.83066905,fish fingers grilled,4,4
corn on the cob sweetcorn,Corn on the cob (sweetcorn),"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7666864682692057,,SBERT,0.68754506,sweetcorn immature cob canned drained,3,3
bottled mineral water still or fizzy,"Bottled mineral water, still or fizzy",Water,,,,0.6483064959342473,,SBERT,0.72680753,mineral water still or carbonated not flavoured,1,1
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,,3,1.0,butter salted,TF-IDF,,,,3
chicken curry home made,Chicken curry home made,Chicken/Turkey dishes,3.0,homemade item,,,,Keyword,,,,3.0
fruit shoot,Fruit shoot,"Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,,,0.6457437867547431,,SBERT,0.69314903,fruit juice drink,4,4
chips french fries/fine cut fried from frozen,"Chips, french fries/fine cut, fried (from frozen)",Fried chips,,,,0.666691611678,,SBERT,0.8263848,white potato french fries from frozen deep fried,4,4
white rice fried eg pilau rice,"White rice, fried (e.g. pilau rice)",Rice,,,,0.5695659536606279,,SBERT,0.8172658,special fried rice,3,3
tomato ketchup,Tomato ketchup,Ketchup,4.0,processed ketchup,,,,Keyword,,,,4.0
potato crisps eg walkers,Potato crisps (e.g. Walkers),Potato based crisps – full fat,,,,0.7985538892406345,,SBERT,0.7873174,potato crisps high oleic sunflower oil eg walkers,4,4
lentil dahl / tarka dahl,Lentil dahl / Tarka dahl,"Vegetable dishes: vegetable curry, vegetable stew",,,,0.6172134554270213,,SBERT,0.6996396,tarka or tadka dahl purchased or takeaway,4,4
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
strawberries,Strawberries,Fresh fruit,1.0,raw,,,,Keyword,,,,1.0
mixed fruit juice drink ready to drink 2549% juice eg capri sun rubicon,"Mixed fruit juice drink, ready to drink, 25-49% juice (e.g. Capri sun, Rubicon)",Other cordials and squashes: excluding low calorie & reduced sugar,,,,0.5830819051624859,,SBERT,0.78757167,mixed fruit juice drink rtd 75 juice nas eg robinson s my 5 capri sun fruit crush,4,4
whole milk boiled,"Whole milk, boiled","Whole milks: includes longlife whole, dried whole & any soya or goats milk",3.0,boiled or mashed,,,,Keyword,,,,3.0
pasta with meat in a tomatobased sauce eg chicken,Pasta with meat in a tomato-based sauce e.g. chicken,Meat based pasta dishes,,,,0.7638317531214064,,SBERT,0.9010928,pasta with meat sauce,1,1
oreos including supermarket brands,"Oreos, including supermarket brands",Sweet biscuits: excludes full coated biscuits,,,,0.43655607626088677,,SBERT,0.73339635,oreo and supermarket versions only all flavours,4,4
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.9718705785327632,pain au chocolate chocolate croissant,TF-IDF,,,,4
vegetarian sausage roll meat style eg quorn,"Vegetarian sausage roll, meat style (e.g. Quorn)",Quorn/TVP and dishes,,,,0.8450815004267275,,SBERT,0.92970395,vegetarian quorn sausage roll,4,4
kinder egg milk & white chocolate,Kinder egg (milk & white chocolate),"Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",,,,0.6836087876113196,,SBERT,0.8489856,milk and white chocolate combination eg kinder egg snowflake,4,4
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,TF-IDF,,,,4
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,Keyword,,,,1.0
fruit shoot,Fruit shoot,"Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,,,0.6457437867547431,,SBERT,0.69314903,fruit juice drink,4,4
