Descriptionen,Descriptionen_clean,NOVA_keyword,Keyword_reason,NOVA_tfidf,TFIDF_score,TFIDF_match,TFIDF_source,NOVA_sbert,SBERT_score,SBERT_match,SBERT_source,Model_disagree_flag,NOVA_disagree_flag,Decision_flag,NOVA_final,Matched_name,Final_source,Final_reason
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Soft scoop vanilla ice cream,soft scoop vanilla ice cream,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
Shortcake biscuit,shortcake biscuit,,,,,,,1,0.82239294,cake shortcake biscuit type with fruit,Giulia,False,False,auto_accept,1,cake shortcake biscuit type with fruit,Giulia,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Irn bru,irn bru,,,,,,,,0.52555037,irn bru not low calorie not canned,,False,False,auto_accept,,,,Unmatched
Cheese salad sub roll/baguette,cheese salad sub roll/baguette,,,,,,,,0.7143954,cabbage salad or coleslaw with dressing,,False,False,auto_accept,,,,Unmatched
Tartare sauce,tartare sauce,,,4,1.0000000000000002,tartare sauce purchased,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Utterly Butterly,utterly butterly,,,,,,,,0.6409357,i can t believe it s not butter only,,False,False,auto_accept,,,,Unmatched
"Toast, 50:50 bread (e.g. Kingsmill)","toast, 50:50 bread (e.g. kingsmill)",,,,,,,4,0.80003977,bread white toasted,NDNS,False,False,auto_accept,4,bread white toasted,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Mixed fruit juice, 100% fruit (e.g. Tropicana)","mixed fruit juice, 100% fruit (e.g. tropicana)",,,,,,,,0.785313,fruit juice drink,,False,False,auto_accept,,,,Unmatched
Chocolate sponge cake with no filling,chocolate sponge cake with no filling,,,4,0.8969435660849031,sponge cake with margarine jam filling homemade,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Lamb pilau, with potato (Meat pilau / Ukni)","lamb pilau, with potato (meat pilau / ukni)",,,,,,,,0.7211512,lamb kebab with potato,,False,False,auto_accept,,,,Unmatched
Dairylea Dunkers (includes cheese dip and dunker (e.g. breadsticks),dairylea dunkers (includes cheese dip and dunker (e.g. breadsticks),,,,,,,,0.6660871,dairylea dunkers cheese jumbo tubes,,False,False,auto_accept,,,,Unmatched
"Rice, boiled, with ghee and sugar (Zarda / Meethay chawal/ Gur chawal/ Jaggery rice)","rice, boiled, with ghee and sugar (zarda / meethay chawal/ gur chawal/ jaggery rice)",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"New potatoes, skin eaten, baked","new potatoes, skin eaten, baked",,,,,,,1,0.8927697,potato new baked flesh and skin,NDNS,False,False,auto_accept,1,potato new baked flesh and skin,NDNS,SBERT matched
Whole milk,whole milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
Soft scoop vanilla ice cream,soft scoop vanilla ice cream,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Brioche roll with chocolate chips,brioche roll with chocolate chips,,,,,,,4,0.8865093,chocolate chip brioche rolls purchased,NDNS,False,False,auto_accept,4,chocolate chip brioche rolls purchased,NDNS,SBERT matched
Chocolate sponge cake with no filling,chocolate sponge cake with no filling,,,4,0.8969435660849031,sponge cake with margarine jam filling homemade,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Chicken legs/wings marinated,chicken legs/wings marinated,,,,,,,3,0.82063687,chicken wings marinated or bbq or grilled,NDNS,False,False,auto_accept,3,chicken wings marinated or bbq or grilled,NDNS,SBERT matched
"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","side salad (e.g. including lettuce, tomato, cucumber), no dressing",,,,,,,1,0.86263263,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,False,False,auto_accept,1,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,SBERT matched
Cheese salad sub roll/baguette,cheese salad sub roll/baguette,,,,,,,,0.7143954,cabbage salad or coleslaw with dressing,,False,False,auto_accept,,,,Unmatched
Chicken pasta bake,chicken pasta bake,,,,,,,3,0.89354193,chicken broccoli pasta bake,NDNS,False,False,auto_accept,3,chicken broccoli pasta bake,NDNS,SBERT matched
Potato wedges,potato wedges,,,4,0.8718265596520391,potato wedges baked,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Chocolate brownie (without nut),chocolate brownie (without nut),,,,,,,4,0.82081354,chocolate brownie no nuts purchased,NDNS,False,False,auto_accept,4,chocolate brownie no nuts purchased,NDNS,SBERT matched
Chocolate fudge cake,chocolate fudge cake,,,4,0.8519095803805817,fudge chocolate,Giulia,,,,,False,False,auto_accept,4,,Giulia,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Nesquik chocolate cereal,nesquik chocolate cereal,,,4,1.0,nesquik chocolate cereal,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Mango juice drink, ready to drink (e.g. Frooti)","mango juice drink, ready to drink (e.g. frooti)",,,,,,,,0.79248005,mango juice fresh,,False,False,auto_accept,,,,Unmatched
"Apple, skin eaten","apple, skin eaten",1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Red grapes,red grapes,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Mini cheddars,mini cheddars,,,,,,,,0.6653614,cheese cheddar any other or for recipes,,False,False,auto_accept,,,,Unmatched
"Fruit squash / juice, with ADDED SUGAR, diluted","fruit squash / juice, with added sugar, diluted",,,,,,,,0.7327714,high juice drink squash conc not b c not low cal,,False,False,auto_accept,,,,Unmatched
"Side salad (e.g. including lettuce, tomato, cucumber), no dressing","side salad (e.g. including lettuce, tomato, cucumber), no dressing",,,,,,,1,0.86263263,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,False,False,auto_accept,1,lettuce salad with assorted vegetables excluding tomatoes and carrots no dressing,Giulia,SBERT matched
Beef lasagne,beef lasagne,,,,,,,4,0.8916625,lasagne beef ready meal,NDNS,False,False,auto_accept,4,lasagne beef ready meal,NDNS,SBERT matched
"Tomato ketchup, reduced salt and sugar","tomato ketchup, reduced salt and sugar",4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
"Soft cheese, full-fat (e.g. Philadelphia)","soft cheese, full-fat (e.g. philadelphia)",,,4,1.0,cheese soft full fat eg philadelphia,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Tomato ketchup, reduced salt and sugar","tomato ketchup, reduced salt and sugar",4.0,description: processed ketchup,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed ketchup
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Twix (chocolate & caramel biscuit fingers),twix (chocolate & caramel biscuit fingers),,,,,,,,0.7616171,milk chocolate covered caramel and biscuit fingers eg twix drifter munchies,,False,False,auto_accept,,,,Unmatched
"50/50 bread (e.g. Kingsmill, Warburtons)","50/50 bread (e.g. kingsmill, warburtons)",,,,,,,,0.71533406,bread rolls 50 white and 50 wholemeal flours,,False,False,auto_accept,,,,Unmatched
"Special K cereal bar, not protein or fibre","special k cereal bar, not protein or fibre",,,,,,,4,0.81055045,fruit and fibre cereal bar fortified,NDNS,False,False,auto_accept,4,fruit and fibre cereal bar fortified,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Meat samosas,meat samosas,,,,,,,4,0.9204979,samosa meat filled,NDNS,False,False,auto_accept,4,samosa meat filled,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Ice lolly,ice lolly,,,,,,,,0.7675322,milk ice lollies,,False,False,auto_accept,,,,Unmatched
Pain au chocolat/chocolate croissant,pain au chocolat/chocolate croissant,,,,,,,4,0.92004377,pain au chocolate chocolate croissant,NDNS,False,False,auto_accept,4,pain au chocolate chocolate croissant,NDNS,SBERT matched
"Mixed fruit juice, 100% fruit (e.g. Tropicana)","mixed fruit juice, 100% fruit (e.g. tropicana)",,,,,,,,0.785313,fruit juice drink,,False,False,auto_accept,,,,Unmatched
"Chips, fried","chips, fried",,,,,,,4,0.81044054,chips fine cut fried in rapeseed oil mcdonalds,NDNS,False,False,auto_accept,4,chips fine cut fried in rapeseed oil mcdonalds,NDNS,SBERT matched
"Mashed potato, with butter","mashed potato, with butter",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
Baked potato crisps (e.g. Walkers),baked potato crisps (e.g. walkers),3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Pork sausage, grilled","pork sausage, grilled",,,,,,,4,0.95776546,sausages pork grilled,NDNS,False,False,auto_accept,4,sausages pork grilled,NDNS,SBERT matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Weetabix / Wheat biscuits,weetabix / wheat biscuits,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
"Oreos, including supermarket brands","oreos, including supermarket brands",,,,,,,,0.7110218,oreo and supermarket versions only all flavours,,False,False,auto_accept,,,,Unmatched
"Red/yellow/orange pepper, raw","red/yellow/orange pepper, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Rocky road,rocky road,,,4,1.0,rocky road tiffin,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Oat milk/drink, flavoured (e.g. Alpro chocolate)","oat milk/drink, flavoured (e.g. alpro chocolate)",,,,,,,,0.73749554,oat based milk alternative fortified,,False,False,auto_accept,,,,Unmatched
Sweet pickle/chutney (e.g. Branston),sweet pickle/chutney (e.g. branston),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Cheese sandwich with white/malted bread,cheese sandwich with white/malted bread,,,,,,,4,0.84936094,cheese sandwich,Giulia,False,False,auto_accept,4,cheese sandwich,Giulia,SBERT matched
"Orange squash, no added sugar, diluted","orange squash, no added sugar, diluted",,,,,,,,0.70723194,squash winter type baked no fat added in cooking sugar added in cooking,,False,False,auto_accept,,,,Unmatched
"Red/yellow/orange pepper, raw","red/yellow/orange pepper, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Salsa dip (e.g. tomato and chilli),salsa dip (e.g. tomato and chilli),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
Carrots,carrots,,,3,1.0,carrots old boiled,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Mashed potato, with butter","mashed potato, with butter",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Pork sausage, grilled","pork sausage, grilled",,,,,,,4,0.95776546,sausages pork grilled,NDNS,False,False,auto_accept,4,sausages pork grilled,NDNS,SBERT matched
"Wrap/tortilla, white","wrap/tortilla, white",,,,,,,,0.7572849,wholemeal wheat tortilla wraps,,False,False,auto_accept,,,,Unmatched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Ginger biscuit (e.g. ginger nuts, gingerbread men)","ginger biscuit (e.g. ginger nuts, gingerbread men)",,,,,,,,0.77327347,ginger biscuits made with butter,,False,False,auto_accept,,,,Unmatched
Cheddar cheese,cheddar cheese,,,3,1.0000000000000002,cheese cheddar irish,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
Weetabix / Wheat biscuits,weetabix / wheat biscuits,4.0,group: processed cereal (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: processed cereal (group)
White sugar,white sugar,,,3,1.0,sugar white,NDNS,,,,,False,False,auto_accept,3,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Chicken breast, marinated, homemade","chicken breast, marinated, homemade",3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
"Red/yellow/orange pepper, raw","red/yellow/orange pepper, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Oat milk,oat milk,1.0,group: milk (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: milk (group)
Nesquik milkshake powder,nesquik milkshake powder,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
Oat milk,oat milk,1.0,group: milk (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: milk (group)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Vegetarian cottage pie, vegetables and lentils","vegetarian cottage pie, vegetables and lentils",,,,,,,,0.78619826,vegetarian pot pie,,False,False,auto_accept,,,,Unmatched
"Natural yoghurt, greek-style","natural yoghurt, greek-style",1.0,description: plain yoghurt,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain yoghurt
"Butter, salted","butter, salted",3.0,group: culinary fat/oil (group),,,,,,,,,False,False,auto_accept,3.0,,keyword,group: culinary fat/oil (group)
Tunnock's caramel wafer,tunnock's caramel wafer,,,,,,,,0.7734479,tunnocks chocolate caramel wafers,,False,False,auto_accept,,,,Unmatched
Raspberries,raspberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Toast, wholemeal (brown) bread","toast, wholemeal (brown) bread",,,,,,,4,0.9164678,bread wholemeal toasted,NDNS,False,False,auto_accept,4,bread wholemeal toasted,NDNS,SBERT matched
Garlic bread,garlic bread,,,4,1.0,garlic herb bread,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Beef lasagne,beef lasagne,,,,,,,4,0.8916625,lasagne beef ready meal,NDNS,False,False,auto_accept,4,lasagne beef ready meal,NDNS,SBERT matched
"Orange squash, no added sugar, diluted","orange squash, no added sugar, diluted",,,,,,,,0.7072321,squash winter type baked no fat added in cooking sugar added in cooking,,False,False,auto_accept,,,,Unmatched
"Orange squash / juice, with ADDED SUGAR, diluted","orange squash / juice, with added sugar, diluted",,,,,,,,0.72646654,high juice drink squash conc not b c not low cal,,False,False,auto_accept,,,,Unmatched
"Ginger biscuit (e.g. ginger nuts, gingerbread men)","ginger biscuit (e.g. ginger nuts, gingerbread men)",,,,,,,,0.77327347,ginger biscuits made with butter,,False,False,auto_accept,,,,Unmatched
Raspberries,raspberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Potato crisps (e.g. Walkers),potato crisps (e.g. walkers),,,,,,,4,0.83648956,potato crisps in sunseed oil eg walkers sensations sainsbury and tesco standard crisps,NDNS,False,False,auto_accept,4,potato crisps in sunseed oil eg walkers sensations sainsbury and tesco standard crisps,NDNS,SBERT matched
"Sweetcorn / sweet corn, canned","sweetcorn / sweet corn, canned",,,,,,,,0.76929724,sweetcorn canned drained added sugar and or salt,,False,False,auto_accept,,,,Unmatched
Pork spare ribs in Barbecue sauce,pork spare ribs in barbecue sauce,,,4,0.9386801107887389,spare ribs in barbecue sauce no bones,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
"Savoury cracker (e.g. Sesame and poppy thins, butter puffs, onion crackers, monaco)","savoury cracker (e.g. sesame and poppy thins, butter puffs, onion crackers, monaco)",4.0,description: processed snack,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed snack
Strawberries,strawberries,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Peanut butter, smooth","peanut butter, smooth",,,4,0.9101411813143904,peanut butter smooth not wholenut,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Boursin cheese,boursin cheese,,,,,,,,0.7402659,cheese parmesan,,False,False,auto_accept,,,,Unmatched
"Orange squash, no added sugar, diluted","orange squash, no added sugar, diluted",,,,,,,,0.7072321,squash winter type baked no fat added in cooking sugar added in cooking,,False,False,auto_accept,,,,Unmatched
Egg noodles,egg noodles,,,4,0.872916489194159,pasta noodles egg boiled,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Red cabbage, raw","red cabbage, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Cider Vinegar,cider vinegar,,,,,,,4,0.8310677,vinegar,NDNS,False,False,auto_accept,4,vinegar,NDNS,SBERT matched
"Toast, wholemeal (brown) bread","toast, wholemeal (brown) bread",,,,,,,4,0.9164678,bread wholemeal toasted,NDNS,False,False,auto_accept,4,bread wholemeal toasted,NDNS,SBERT matched
"Soy sauce, light","soy sauce, light",,,4,1.0,soy sauce light,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Flapjack, Reduced fat","flapjack, reduced fat",,,,,,,4,0.9786408,flapjacks reduced fat,NDNS,False,False,auto_accept,4,flapjacks reduced fat,NDNS,SBERT matched
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
Cheese and tomato pizza (e.g. Margherita),cheese and tomato pizza (e.g. margherita),,,,,,,,0.76612186,pizza with triple cheese or cheese feast with or without tomato with any base retail,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Quavers,quavers,,,4,1.0,quavers,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Sweetcorn / sweet corn, canned","sweetcorn / sweet corn, canned",,,,,,,,0.76929724,sweetcorn canned drained added sugar and or salt,,False,False,auto_accept,,,,Unmatched
Chocolate hoops cereal,chocolate hoops cereal,,,,,,,4,0.81880236,tesco chocco chocolate hoops cereal fortified,NDNS,False,False,auto_accept,4,tesco chocco chocolate hoops cereal fortified,NDNS,SBERT matched
Chicken curry home made,chicken curry home made,3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
"Pasta/spaghetti and meatballs (including pasta bake), homemade","pasta/spaghetti and meatballs (including pasta bake), homemade",3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
Tuna pasta bake (with cheese),tuna pasta bake (with cheese),,,,,,,4,0.9376086,tuna pasta bake with sweetcorn cheese sauce,NDNS,False,False,auto_accept,4,tuna pasta bake with sweetcorn cheese sauce,NDNS,SBERT matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Baked beans,baked beans,,,3,1.0,baked beans nfs,Giulia,,,,,False,False,auto_accept,3,,Giulia,TF-IDF matched
Iced bun,iced bun,,,4,1.0,iced bun purchased,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Chocolate hoops cereal,chocolate hoops cereal,,,,,,,4,0.81880236,tesco chocco chocolate hoops cereal fortified,NDNS,False,False,auto_accept,4,tesco chocco chocolate hoops cereal fortified,NDNS,SBERT matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Mixed fruit juice, 100% fruit (e.g. Tropicana)","mixed fruit juice, 100% fruit (e.g. tropicana)",,,,,,,,0.7853129,fruit juice drink,,False,False,auto_accept,,,,Unmatched
Brown rice,brown rice,,,4,1.0,rice brown boiled,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Quavers,quavers,,,4,1.0,quavers,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Plain naan bread,plain naan bread,,,4,1.0,naan bread plain,NDNS,,,,,False,False,auto_accept,4,,NDNS,TF-IDF matched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Mixed fruit juice, 100% fruit (e.g. Tropicana)","mixed fruit juice, 100% fruit (e.g. tropicana)",,,,,,,,0.7853129,fruit juice drink,,False,False,auto_accept,,,,Unmatched
Semi skimmed milk,semi skimmed milk,1.0,description: plain milk,,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain milk
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Cheese strings/strips (e.g. Dairylea),cheese strings/strips (e.g. dairylea),,,,,,,4,0.8069882,processed cheese type slices dairylea,NDNS,False,False,auto_accept,4,processed cheese type slices dairylea,NDNS,SBERT matched
"Mixed fruit juice, 100% fruit (e.g. Tropicana)","mixed fruit juice, 100% fruit (e.g. tropicana)",,,,,,,,0.7853129,fruit juice drink,,False,False,auto_accept,,,,Unmatched
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Mr whippy style ice cream,mr whippy style ice cream,4.0,description: processed dessert,,,,,,,,,False,False,auto_accept,4.0,,keyword,description: processed dessert
Scotch pancake/drop scone,scotch pancake/drop scone,,,,,,,,0.7139814,scotch pancakes,,False,False,auto_accept,,,,Unmatched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Chicken curry home made,chicken curry home made,3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
Cheese and tomato pizza (e.g. Margherita),cheese and tomato pizza (e.g. margherita),,,,,,,,0.76612186,pizza with triple cheese or cheese feast with or without tomato with any base retail,,False,False,auto_accept,,,,Unmatched
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Chocolate and nut spread (e.g Nutella),chocolate and nut spread (e.g nutella),4.0,group: preserves (group),,,,,,,,,False,False,auto_accept,4.0,,keyword,group: preserves (group)
"Custard, made with sugar (homemade)","custard, made with sugar (homemade)",3.0,description: homemade,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: homemade
Lettuce,lettuce,,,1,1.0,lettuce unspecified raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
"Wrap/tortilla, white","wrap/tortilla, white",,,,,,,,0.7572849,wholemeal wheat tortilla wraps,,False,False,auto_accept,,,,Unmatched
"Carrots, raw","carrots, raw",1.0,description: raw (word-bound),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: raw (word-bound)
Banana,banana,1.0,group: fruit (group),,,,,,,,,False,False,auto_accept,1.0,,keyword,group: fruit (group)
"Coco Pops/Snaps, supermarket brands","coco pops/snaps, supermarket brands",,,,,,,,0.63797605,cocoa pops own brand not kelloggs,,False,False,auto_accept,,,,Unmatched
"Pork sausage, grilled","pork sausage, grilled",,,,,,,4,0.95776546,sausages pork grilled,NDNS,False,False,auto_accept,4,sausages pork grilled,NDNS,SBERT matched
"Mashed potato, with butter","mashed potato, with butter",3.0,description: boiled/baked/jacket,,,,,,,,,False,False,auto_accept,3.0,,keyword,description: boiled/baked/jacket
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
"Water (from tap, including hot water, filtered water)","water (from tap, including hot water, filtered water)",1.0,description: plain water (description),,,,,,,,,False,False,auto_accept,1.0,,keyword,description: plain water (description)
Cucumber,cucumber,,,1,1.0,cucumber raw,NDNS,,,,,False,False,auto_accept,1,,NDNS,TF-IDF matched
